timeStamp,service,type,success,responseTime,bytes
1546447228995,/,GET,1,126.033067703,1270
1546447228995,/,GET,1,126.033067703,1270
1546447228995,/,GET,1,126.033067703,1270
1546447228995,/,GET,1,126.033067703,1270
1546447228995,/,GET,1,126.033067703,1270
1546447228995,/,GET,1,126.033067703,1270
1546447228995,/,GET,1,126.033067703,1270
1546447228995,/,GET,1,126.033067703,1270
1546447228995,/,GET,1,126.033067703,1270
1546447228995,/,GET,1,126.033067703,1270
1546447228995,/,GET,1,126.033067703,1270
1546447228995,/,GET,1,126.033067703,1270
1546447228995,/,GET,1,126.033067703,1270
1546447228995,/,GET,1,126.033067703,1270
1546447228995,/,GET,1,126.033067703,1270
1546447228995,/,GET,1,126.033067703,1270
1546447228995,/,GET,1,126.033067703,1270
1546447228995,/,GET,1,126.033067703,1270
1546447229158,/,GET,1,116.769075394,1270
1546447229158,/,GET,1,116.769075394,1270
1546447229158,/,GET,1,116.769075394,1270
1546447229158,/,GET,1,116.769075394,1270
1546447229158,/,GET,1,116.769075394,1270
1546447229158,/,GET,1,116.769075394,1270
1546447229158,/,GET,1,116.769075394,1270
1546447229158,/,GET,1,116.769075394,1270
1546447229158,/,GET,1,116.769075394,1270
1546447229158,/,GET,1,116.769075394,1270
1546447229158,/,GET,1,116.769075394,1270
1546447229158,/,GET,1,116.769075394,1270
1546447229158,/,GET,1,116.769075394,1270
1546447229158,/,GET,1,116.769075394,1270
1546447229158,/,GET,1,116.769075394,1270
